source,target,edge_type,author_order,weight
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,paper:paper_001,authored,1.0,
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,paper:paper_001,authored,2.0,
author:md5:dc75447eb49e5493be42511ec4a26c5e,paper:paper_001,authored,3.0,
author:md5:eca8306d34315f6625f90c9bf65cbf4e,paper:paper_001,authored,4.0,
author:md5:384ad7b4242c8780d1a8519e13d85a9a,paper:paper_001,authored,5.0,
author:md5:abff753e5efbe07ae8e6411442d7cfff,paper:paper_001,authored,6.0,
author:md5:47a382efe7d7c6f351b597c18f0b992c,paper:paper_001,authored,7.0,
author:md5:8eac5c3cc69b6b469067f60256848b56,paper:paper_001,authored,8.0,
author:md5:08770152f7c3a1a194221d79491dbcb6,paper:paper_002,authored,1.0,
author:md5:a20d4a5ffc7fe2d75dccd6b926247d23,paper:paper_002,authored,2.0,
author:md5:025670e3031ce60e4d6ef46777016163,paper:paper_002,authored,3.0,
author:md5:bc9522f7e2430120438b731ebb319022,paper:doi:10.1038/s41598-024-79315-0,authored,1.0,
author:md5:7a2f175d4d398d383e7e23692d9beb9a,paper:doi:10.1038/s41598-024-79315-0,authored,2.0,
author:md5:280422b97a870dee818ba4bcbf371ad9,paper:doi:10.1038/s41598-024-79315-0,authored,3.0,
author:md5:494590c8500cfc5e325d99c3c46a29ec,paper:doi:10.1038/s41598-024-79315-0,authored,4.0,
author:md5:7821c18e81a9c9916697e6e0e9cd5793,paper:doi:10.1038/s41598-024-79315-0,authored,5.0,
author:md5:d41d8cd98f00b204e9800998ecf8427e,paper:doi:10.1038/s41598-024-79315-0,authored,6.0,
author:md5:cc61c977a7e4561276094cf28133d910,paper:doi:10.3390/cells10030560,authored,1.0,
author:md5:273ecfd00a688655f4354c0acafd384e,paper:doi:10.3390/cells10030560,authored,2.0,
author:md5:f1acbecec2457d3dd963008d823d53cf,paper:doi:10.3390/cells10030560,authored,3.0,
author:md5:3b615998d95caeb1cf4dc0656c962561,paper:doi:10.3390/cells10030560,authored,4.0,
author:md5:52905321a0a44ee45230e41ae3e3b5b2,paper:doi:10.3390/cells10030560,authored,5.0,
author:md5:a2c0f8255b90675fdce3a621eeb39669,paper:doi:10.3390/cells10030560,authored,6.0,
author:md5:f0153d48ba5ee53c008aaf78e013985b,paper:doi:10.3390/cells10030560,authored,7.0,
author:md5:f756a36d150ba332fa33af094c684162,paper:doi:10.1016/j.isci.2022.105213,authored,1.0,
author:md5:fce15481deb68367b42f5a91fa32d17b,paper:doi:10.1016/j.isci.2022.105213,authored,2.0,
author:md5:50b682adbf2f2efabb983a960de49f10,paper:doi:10.1016/j.isci.2022.105213,authored,3.0,
author:md5:d41d8cd98f00b204e9800998ecf8427e,paper:doi:10.1016/j.isci.2022.105213,authored,4.0,
author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,paper:doi:10.1016/j.isci.2022.105213,authored,5.0,
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,paper:doi:10.1016/j.isci.2023.107047,authored,1.0,
author:md5:5031ed768603d2e064b49fd804916c8d,paper:doi:10.1016/j.isci.2023.107047,authored,2.0,
author:md5:9963943b01bd5206edace7d7bbdd5115,paper:doi:10.1016/j.isci.2023.107047,authored,3.0,
author:md5:d41d8cd98f00b204e9800998ecf8427e,paper:doi:10.1016/j.isci.2023.107047,authored,4.0,
author:md5:9695ed5913a5f41d4ad9dd9593712b8c,paper:doi:10.1016/j.isci.2023.107047,authored,5.0,
author:md5:80d408b1170dee6fb8b2410edfb030a8,paper:local:absence-gamma-sarcoglycan,authored,1.0,
author:md5:b59a6149b4b2d454e3e06c431feb8416,paper:local:absence-gamma-sarcoglycan,authored,2.0,
author:md5:d6d280db5219276e0beec4c84db83a39,paper:local:absence-gamma-sarcoglycan,authored,3.0,
author:md5:7dc072d2c31845cf80668f25c3314b5c,paper:local:absence-gamma-sarcoglycan,authored,4.0,
